# Random_Number_Generator initial seed =   123456789
# Number of LHS sample points =   41
# point#   var1    var2
#
   1     0.9848  0.1912
   2     0.0987  0.7289
   3     0.6021  0.9578
   4     0.4273  0.0806
   5     0.0104  0.4662
   6     0.3039  0.1424
   7     0.0274  0.7955
   8     0.8571  0.8227
   9     0.2106  0.8901
  10     0.7093  0.5072
  11     0.9364  0.5697
  12     0.7627  0.3508
  13     0.0876  0.6214
  14     0.1603  0.9861
  15     0.5587  0.1641
  16     0.9513  0.6427
  17     0.8228  0.6633
  18     0.6881  0.4537
  19     0.2415  0.2215
  20     0.6620  0.2172
  21     0.3554  0.4343
  22     0.6541  0.0349
  23     0.2841  0.8505
  24     0.5291  0.2507
  25     0.7371  0.3193
  26     0.5788  0.0127
  27     0.4631  0.7595
  28     0.3290  0.8662
  29     0.4095  0.3834
  30     0.7831  0.9406
  31     0.3780  0.4092
  32     0.1288  0.2855
  33     0.1910  0.1184
  34     0.6167  0.6052
  35     0.0495  0.6946
  36     0.8398  0.7354
  37     0.4715  0.5150
  38     0.2653  0.0528
  39     0.8839  0.3055
  40     0.5101  0.5517
  41     0.9220  0.9090
