# Random_Number_Generator initial seed =   192837465
# Number of LHS sample points =   41
# point#   var1    var2
#
   1     0.3444  0.5558
   2     0.7286  0.4015
   3     0.6305  0.7345
   4     0.8347  0.0932
   5     0.5885  0.4287
   6     0.9816  0.6696
   7     0.2283  0.7024
   8     0.0804  0.8508
   9     0.3784  0.7892
  10     0.4524  0.2814
  11     0.6910  0.0628
  12     0.4333  0.9135
  13     0.9482  0.5751
  14     0.9106  0.0453
  15     0.0399  0.1448
  16     0.6669  0.8749
  17     0.4000  0.3688
  18     0.3076  0.7192
  19     0.1619  0.6264
  20     0.5796  0.8228
  21     0.5100  0.5078
  22     0.9012  0.7756
  23     0.9608  0.3313
  24     0.8118  0.9936
  25     0.1102  0.0071
  26     0.3340  0.5152
  27     0.2835  0.9494
  28     0.6383  0.1683
  29     0.2065  0.3554
  30     0.8027  0.4652
  31     0.1296  0.2208
  32     0.0221  0.4531
  33     0.4814  0.8975
  34     0.2673  0.1970
  35     0.0615  0.1747
  36     0.1732  0.9733
  37     0.7699  0.3141
  38     0.5359  0.2620
  39     0.7555  0.1214
  40     0.5504  0.6058
  41     0.8640  0.6431
