# Random_Number_Generator initial seed =   123456789
# Number of LHS sample points =   25
# point#   var1    var2
#
   1     0.2112  0.5601
   2     0.9493  0.4057
   3     0.4351  0.9092
   4     0.0171  0.2843
   5     0.6200  0.6150
   6     0.9162  0.1284
   7     0.4983  0.0115
   8     0.9874  0.8736
   9     0.1618  0.5358
  10     0.3454  0.8342
  11     0.1437  0.3773
  12     0.7732  0.2089
  13     0.5829  0.4496
  14     0.8677  0.5121
  15     0.8365  0.7722
  16     0.3961  0.1632
  17     0.7007  0.3493
  18     0.7594  0.9535
  19     0.5396  0.2508
  20     0.3132  0.6973
  21     0.0450  0.9962
  22     0.4659  0.0857
  23     0.6715  0.7265
  24     0.2629  0.0728
  25     0.0811  0.6609
