# mID pID  nd1   nd2   Rx1   Rz1  Rfi1   Rx2   Rz2  Rfi2
1     1      1     2     0     0     0     0     0     0
1     1      2     3     0     0     0     0     0     0
1     1      3     4     0     0     0     0     0     0
1     1      5     6     0     0     0     0     0     0
1     1      6     7     0     0     0     0     0     0
1     1      7     8     0     0     0     0     0     0
1     1      9    10     0     0     0     0     0     0
1     1     10    11     0     0     0     0     0     0
1     1     11    12     0     0     0     0     0     0
1     2      2     6     0     0     1     0     0     1
1     2      6    10     0     0     1     0     0     1
1     2      3     7     0     0     0     0     0     0
1     2      7    11     0     0     0     0     0     0
1     2      4     8     0     0     0     0     0     0
1     2      8    12     0     0     0     0     0     0
