"New York State Lotto", , , , , , , "NYS Win 4" , , , 
19, 22, 26, 38, 44, 48, , 9, 2, 5, 4
4, 6, 16, 24, 37, 49, , 7, 7, 5, 4
22, 31, 35, 38, 41, 48, , 0, 1, 7, 5
4, 11, 22, 31, 34, 35, , 7, 3, 7, 6
9, 15, 19, 23, 24, 51, , 5, 5, 7, 1
3, 8, 21, 28, 30, 45, , 5, 2, 6, 4
1, 2, 15, 32, 33, 48, , 1, 5, 4, 3
18, 29, 30, 32, 38, 43, , 9, 3, 5, 0
1, 8, 13, 35, 44, 46, , 0, 6, 2, 7
11, 21, 25, 32, 37, 49, , 0, 7, 2, 7
6, 8, 9, 33, 34, 40, , 8, 9, 1, 9
11, 14, 20, 25, 31, 33, , 7, 0, 0, 9
6, 11, 25, 30, 42, 49, , 6, 6, 6, 2
19, 32, 33, 41, 50, 51, , 0, 0, 1, 5
8, 13, 24, 42, 43, 47, , 1, 6, 6, 0
12, 13, 16, 25, 27, 31, , 6, 1, 9, 3
3, 23, 26, 36, 40, 45, , 7, 1, 5, 6
11, 18, 20, 24, 25, 41, , 2, 7, 5, 9
2, 10, 17, 19, 42, 43, , 4, 4, 1, 0
5, 18, 20, 23, 46, 49, , 7, 2, 8, 6
12, 13, 17, 31, 32, 35, , 5, 7, 4, 5
5, 23, 26, 32, 45, 46, , 5, 9, 3, 3
8, 12, 27, 39, 40, 50, , 5, 7, 7, 6
6, 21, 41, 43, 50, 51, , 2, 4, 0, 4
18, 19, 21, 23, 38, 49, , 0, 8, 7, 2
13, 14, 32, 39, 44, 51, , 4, 3, 5, 7
17, 19, 21, 22, 31, 35, , 4, 0, 4, 7
6, 12, 19, 41, 47, 49, , 9, 6, 1, 5
5, 15, 38, 41, 42, 50, , 9, 2, 9, 5
3, 4, 6, 14, 24, 46, , 0, 6, 4, 7
6, 28, 29, 46, 47, 51, , 5, 4, 6, 9
8, 9, 29, 30, 33, 50, , 3, 0, 6, 0
3, 6, 22, 26, 41, 45, , 3, 7, 4, 7
2, 15, 33, 36, 38, 46, , 1, 9, 1, 6
10, 16, 36, 37, 46, 51, , 9, 0, 9, 8
8, 10, 13, 23, 33, 45, , 2, 6, 7, 6
20, 23, 26, 39, 48, 50, , 5, 2, 2, 9
12, 22, 31, 33, 43, 50, , 6, 8, 6, 8
22, 30, 31, 40, 45, 49, , 8, 7, 4, 7
9, 23, 25, 27, 37, 38, , 2, 4, 0, 7
